fromAbv,fromName,numReturns,numExemptions,agi,avgAgi
CA,California,10379,19280,668533,64.4120820888
TX,Texas,9517,19130,645027,67.776295051
FL,Florida,5411,9470,282032,52.1219737572
AZ,Arizona,4722,8881,275112,58.2617534943
IL,Illinois,3934,6547,238174,60.5424504321
NY,New York,3124,4936,236424,75.6798975672
NM,New Mexico,3080,5991,148985,48.3717532468
KS,Kansas,2542,5072,117366,46.1707317073
WA,Washington,2517,4867,149965,59.5808502185
VA,Virginia,2477,4770,198332,80.0694388373
WY,Wyoming,2257,4178,120151,53.2348249889
NC,North Carolina,2208,4233,114296,51.7644927536
PA,Pennsylvania,2184,3650,174431,79.8676739927
MO,Missouri,2171,3891,114528,52.7535697835
GA,Georgia,2144,4287,114226,53.2770522388
OH,Ohio,2062,3477,112221,54.4233753637
FR,Foreign,2049,4783,147277,71.8775012201
MI,Michigan,1959,3245,91627,46.7723328229
MN,Minnesota,1934,3346,115097,59.512409514
NE,Nebraska,1916,3498,120744,63.0187891441
UT,Utah,1913,4142,99562,52.0449555672
NV,Nevada,1807,3516,45251,25.0420586608
OK,Oklahoma,1780,3496,100973,56.7264044944
WI,Wisconsin,1702,2748,90228,53.0129259694
OR,Oregon,1455,2521,71723,49.2941580756
IA,Iowa,1427,2366,63588,44.5606166783
TN,Tennessee,1423,2662,73054,51.3380182713
IN,Indiana,1422,2468,71426,50.229254571
MA,Massachusetts,1305,1920,81696,62.6022988506
MD,Maryland,1275,2330,109158,85.6141176471
NJ,New Jersey,1205,2014,88335,73.3070539419
HI,Hawaii,916,1930,47342,51.6834061135
MT,Montana,906,1546,43956,48.5165562914
LA,Louisiana,888,1638,41614,46.8626126126
SC,South Carolina,843,1519,39551,46.9169632266
ID,Idaho,836,1686,37967,45.4150717703
AL,Alabama,812,1647,37991,46.7869458128
KY,Kentucky,764,1626,35819,46.8835078534
SD,South Dakota,760,1266,31624,41.6105263158
AR,Arkansas,758,1472,37344,49.2664907652
AK,Alaska,749,1544,43564,58.1628838451
ND,North Dakota,748,1442,51054,68.2540106952
CT,Connecticut,665,1058,55457,83.3939849624
MS,Mississippi,447,878,17928,40.1073825503
NH,New Hampshire,382,588,44530,116.570680628
DC,District Of Columbia,337,454,37888,112.427299703
ME,Maine,287,449,11433,39.8362369338
VT,Vermont,267,392,10969,41.0823970037
WV,West Virginia,231,387,16181,70.0476190476
RI,Rhode Island,158,266,12243,77.4873417722
DE,Delaware,130,205,7634,58.7230769231
